,country,year,swiid_market,swiid_mrkt_bott50,swiid_mrkt_top10,swiid_dsp,swiid_dsp_bott50,swiid_dsp_top10,gini_coeff,s80s20,palma,fin_lib,gfc,fin_dev_prcrdt,fin_dev_dep,gdp_per,trade,pop,infl,gdp_grth,agri,ind,nat_res,edu_exp,edu_prime,edu_sec,edu_ter,life_exp,net_barter,fdi,cap_for,gvt_cs,unemp,curcri,kaopen,civ_lib,exprty,trade_glob,legor_so,legor_ge,bank_prcrdt,all_prcrdt,bank_share_prcrdt,bank_asgdp,fin_dep,bank_share_dep,net_int,bank_roa,bank_roe,bank_con,ins_asset,life_ins,nonlife_ins,stock_mrkt,stock_trade,private_penfunds,mutual_funds,fdi_dollar,equity_dollar
48,Serbia,2014,51.556,51.611,51.548,34.25,34.434,34.124,35.952,6.315,1.475,6.583,0,43.426,41.994,5462.735,92.231,7130576,2.082,-1.59,7.066,25.237,1.894,4.005,100.391,93.54,57.623,75.337,95.924,4.249,15.95,18.053,19.22,0,,2,0,73.554,0,1,43.69,43.69,100,58.248,41.994,100,4.746,-0.203,-0.978,45.212,4.036,0.409,1.188,,,237.818,0.228,1999539187.457,-21637100.389
49,Serbia,2015,51.168,51.259,50.963,33.816,33.974,33.687,35.175,6.043,1.415,6.978,0,43.374,43.422,5588.979,97.396,7095383,1.392,1.806,6.714,25.797,1.277,3.896,100.2,95.924,57.937,75.288,100.0,5.909,16.971,16.412,17.66,0,,2,0,72.748,0,1,42.94,42.94,100,60.359,43.422,100,4.014,0.184,0.862,56.16,4.445,0.479,1.333,,,260.268,0.397,2343139735.748,-90084036.251
50,Serbia,2016,50.894,50.846,50.89,33.283,33.414,33.31,34.399,5.788,1.357,7.038,0,43.443,,5805.898,101.86,7058322,1.122,3.339,6.811,25.82,1.172,3.724,99.731,95.75,61.425,75.688,101.544,5.788,17.06,15.998,15.26,0,,2,0,72.713,0,1,,,,,,,5.115,0.72,3.418,50.27,4.761,0.551,1.369,,,280.533,0.466,2355214636.942,-14037698.153
51,Montenegro,2000,,,,,,,32.086,4.259,1.255,5.36,0,,,4431.598,87.925,604950,71.121,3.1,11.302,21.259,0.0,,,,15.9,73.818,,0.412,16.874,21.935,28.803,1,,0,1,53.813,0,1,,,,,,,,,,,,,,,,,,,
52,Montenegro,2001,,,,,,,28.076,3.615,1.03,5.36,0,,,4462.348,100.409,607389,95.005,1.1,10.811,22.314,0.0,,,,16.388,74.069,,1.066,17.503,25.171,29.012,0,,0,1,53.981,0,1,,,,,,,,,,,,,,,,,,,
53,Montenegro,2002,,,,,,,29.316,3.908,1.084,5.36,0,8.055,11.126,4529.121,95.229,609828,19.491,1.904,10.924,21.595,0.0,,,,15.474,73.906,,2.648,14.622,24.861,29.336,0,,0,0,54.29,0,1,7.953,7.953,100,10.678,11.126,100,,,,,,,,,,,,,
54,Montenegro,2003,,,,,,,30.555,4.241,1.143,5.36,0,11.294,11.012,4623.074,77.598,612267,9.876,2.483,9.915,19.329,0.074,,102.509,88.135,16.206,73.932,,5.517,13.299,26.765,29.66,0,,0,0,54.543,0,1,9.223,9.223,100,12.132,11.012,100,15.45,4.005,19.175,82.71,,,,,,,,,
55,Montenegro,2004,,,,,,,31.794,4.623,1.206,5.36,0,14.628,13.334,4819.146,100.11,613353,11.026,4.426,9.262,18.973,0.255,,103.43,89.037,18.885,74.564,,3.387,17.132,26.305,30.028,0,,0,0,74.267,0,1,14.616,14.616,100,17.967,13.334,100,8.132,2.396,12.226,71.244,,,,,,,,,
56,Montenegro,2005,48.0,48.766,45.676,37.992,37.439,37.641,33.033,5.064,1.274,7.408,0,17.952,17.274,5013.194,104.625,614261,16.12,4.181,8.758,17.342,0.642,,107.509,90.856,21.474,73.983,,6.59,17.98,29.941,30.31,0,,0,0,69.419,0,1,15.647,15.647,100,18.988,17.274,100,5.68,0.353,2.224,75.4,,,,,,,,,
57,Montenegro,2006,48.208,48.991,45.794,38.096,37.702,37.376,32.853,5.111,1.25,7.677,0,35.957,29.889,5435.884,117.995,615025,11.724,8.566,8.211,17.683,1.024,,111.652,92.41,25.561,73.839,,13.495,22.819,19.108,24.966,0,,0,0,77.42,0,1,25.393,25.393,100,28.741,29.889,100,4.135,0.637,5.463,70.741,,,,52.094,7.261,,,,
58,Montenegro,2007,48.539,49.32,46.246,38.072,37.732,37.172,33.905,5.356,1.339,8.035,1,80.002,48.75,5798.062,128.746,615875,6.392,6.81,7.229,17.003,0.953,,115.356,93.279,32.695,74.339,,25.467,32.879,19.882,19.4,0,,3,0,78.498,0,1,53.28,53.28,100,55.985,48.75,100,3.802,0.46,5.622,68.633,,,,75.148,9.295,,,937357714.73,3503250.981
59,Montenegro,2008,48.86,49.721,46.158,38.151,37.628,37.875,33.212,5.097,1.296,7.98,1,86.523,54.847,6205.818,132.34,616969,8.759,7.223,7.44,17.695,1.503,,118.4,93.525,40.454,75.137,,21.455,39.216,22.218,17.15,0,,3,0,87.02,0,1,78.407,78.407,100,80.59,54.847,100,3.34,-0.321,-4.198,80.03,,,,74.653,5.276,,,975271781.797,-6165942.937
60,Montenegro,2009,49.106,49.994,46.569,38.172,37.691,37.685,33.581,5.222,1.323,7.908,0,76.207,50.856,5833.657,99.425,618294,3.467,-5.795,8.268,17.349,0.377,,112.229,95.892,48.994,75.144,,37.272,27.349,21.861,19.09,0,,3,0,86.991,0,1,83.215,83.215,100,86.854,50.856,100,4.315,0.327,3.511,75.345,,,,84.359,5.134,,,1550285725.392,-5104780.784
61,Montenegro,2010,49.438,50.261,46.915,38.136,37.855,37.472,31.98,4.862,1.208,7.873,0,66.472,46.79,5982.196,99.78,619428,0.655,2.734,7.678,17.148,1.138,,106.683,98.661,52.743,75.99,,18.302,21.642,22.093,19.65,0,,2,0,79.885,0,1,69.535,69.535,100,74.349,46.79,100,4.226,-4.342,-41.22,72.034,,,,77.505,1.068,,,758254398.557,-7837227.205
62,Montenegro,2011,49.754,50.612,47.189,38.062,37.788,37.317,33.455,5.243,1.311,7.788,0,55.294,46.4,6168.845,106.659,620079,3.45,3.228,8.073,15.094,1.444,,96.423,91.847,57.017,75.983,,12.249,19.511,21.063,19.76,0,,2,0,77.739,0,1,60.114,60.114,100,66.11,46.4,100,4.783,-0.246,-2.317,61.454,,,,76.772,1.367,,,556662007.527,-15102198.349
63,Montenegro,2012,50.077,50.923,47.401,38.044,37.704,37.595,36.154,6.191,1.509,7.745,0,55.06,49.658,5995.772,111.766,620601,4.145,-2.724,7.452,14.891,0.935,,97.363,91.334,57.581,76.2,,15.122,19.75,21.095,19.81,0,,2,0,81.525,0,1,56.346,56.346,100,63.142,49.658,100,4.793,-2.104,-18.827,60.049,,,,86.646,1.42,,,618126498.734,-308220.078
