Country Name,Country Code,Series Name,Series Code,1984 [YR1984],1997 [YR1997],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,9.69245349651536,10.625955499078,11.3351367908612,11.0984229894148,11.2058669623781,11.031267292825,10.5272906437808,10.4774392871051,10.3789563199331,11.109434443885,11.1573603733327,10.9741654774939,10.844815956651,11.0254938139466,11.4518682295269,11.1106353102927,11.2693152160404,,,,,,
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1740.34768635719,1464.29796641697,1960.88246493025,2143.52684515058,2247.49808605638,2380.64462708705,2522.44938113726,2675.50864417697,2851.3677667452,3044.89662487827,3298.4789171641,3432.17088105477,3577.11433445482,3678.04771118469,3736.34008946398,3780.69920254585,3855.76075430011,3952.80358410846,4090.37273911621,4249.82006064482,4431.55560679714,4543.38772250631,4418.66088547605,4857.11195487159,5158.50912786813
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,38.1156830212927,45.4255562530936,63.454073132628,66.4910240323437,68.5250682234387,67.0205610427628,67.0471873068205,70.8723467754672,74.2670902393052,83.2020801053931,77.4517514962857,75.0949144008056,76.5433902447878,81.218568933066,76.5102006210933,75.8737138467897,75.4078455964825,71.801006339647,74.809862823171,78.1942495319136,76.8081841283291,76.2791946495763,59.8297294321628,76.0179821075752,85.305313723096
Albania,ALB,"Population, total",SP.POP.TOTL,2904429,3148281,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2775634
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,33.1802743753957,0.0500181363468233,3.10758827031435,7.77052583431551,0.484002611818484,2.28001916938099,2.36658195679796,2.37072831904283,2.93268248162319,3.32087090389268,2.2669220945083,3.62604695579817,3.42912324722164,2.03159268395298,1.93762080205227,1.62586504402607,1.89617402592367,1.2754316836742,1.98666133171191,2.02805963071136,1.41109078954248,1.62088661717004,2.04147163139546,6.72520271530062
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.25159664405811,-10.9199840781391,6.94621659244254,8.29331263121023,4.53652416035675,5.52863746491788,5.51466791097914,5.52642424695465,5.90265903591924,5.98325951855567,7.50004143020151,3.35428934987461,3.70693815255319,2.54540614450104,1.4172427999078,1.00201754071108,1.77444885260394,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.08771199649604,-3.30208203862541,8.90852781831182,4.84423589539303
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,31.5434438797069,24.5154120419235,22.7161641958722,22.0251140879353,21.9782570845961,20.537486307981,18.8453087247237,17.7083536239523,17.1536195739533,16.8370538440754,16.7943836018798,17.9558663972347,18.2267896025292,18.7668018946422,19.5651578123229,19.9901813581977,19.7802144171366,19.8499944651163,19.0221266422351,18.4294953023634,18.3893323354028,19.2252227057273,18.3581252459328,18.6280324517934
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,18.1097656674433,19.3956891374484,21.7357737789933,23.10636959577,24.055608509483,24.6655622675068,25.0816065897088,25.3080259185205,25.3403319220157,25.1610103305709,24.4137783931968,24.9374619346668,24.4844782196853,22.9185533432722,23.0613168520051,21.5088457362369,21.7636809971645,21.1419653523072,20.3584083577153,21.2794101864807,20.6196548783662,20.1145301950871,20.7469849089846,21.4332510450146
Albania,ALB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,8.86272773832624,1.31616086038518,1.20580664142954,0.774294478401242,0.765808881841202,0.765831615007164,0.868821575977377,1.10115055658531,1.37890239530199,2.17405008124285,1.77540436427071,1.04750341619612,1.52816814295294,2.89849835443056,3.23145242472225,3.32799084447126,3.41690043441322,1.73486186826951,1.05848104238626,1.34604237945034,1.71111628143642,1.63497378546365,0.775369617467959,1.44260146706838,..
Albania,ALB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.8,2.842804,2.88783537542158,2.91035106313237,2.93286675084316,2.95538243855395,2.97789812626474,3.00041381397553,3.02292950168632,3.04544518939712,3.06796087710791,3.09047656481869,3.11299225252949,3.13550794024028,3.15802362795107,3.18053931566186,3.15228442347129,3.12402953128068,3.57274109467112,3.30390855205182,3.30390855205182,3.30390855205182,3.30390855205182,..,..
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,96.8741683959961,109.209136962891,109.125343322754,108.75528717041,107.709121704102,107.269111633301,106.634773254395,111.322402954102,109.894897460938,109.893409729004,110.683570861816,108.076110839844,108.49446105957,109.736122131348,110.606300354004,110.929107666016,114.043319702148,113.30313873291,110.957733154297,109.716163635254,107.403678894043,104.310256958008,100.61360168457,97.6049499511719,95.6067123413086
